12,,,,
 절도 ,"4,528","2,128","2,226",210
 장물 ,19,20,12,9
 사기 ,"2,101","1,915","1,903",157
 횡령 ,260,245,228,25
 배임 ,26,30,42,9
 손괴 ,"1,063",601,589,31
 살인 ,19,19,19, - 
 강도 ,52,45,52,9
 방화 ,34,25,24,1
 강간 ,269,233,238,2
 폭행 ,"1,698","1,514","1,541",97
 상해 ,"1,160","1,141","1,147",83
 협박 ,81,72,74, - 
 공갈 ,74,56,56,6
 약취와유인 ,2,2,2, - 
 체포와감금 ,9,12,10,7
 폭력행위등(단체등의구성.활동) ,20,17,17, - 
 폭력행위등처벌에관한법률위반 ,556,536,670,96
 통화 ,4,1,1, - 
 유가증권.인지.우표 , - ,1,1, - 
 문서 ,194,178,169,23
 인장 ,7,4,3,1
 직무유기 ,1,2,2, - 
 직권남용 ,4,4,4, - 
 수뢰 ,3,3,3, - 
 증뢰 ,2,2,2, - 
 간통 ,25,22,22,6
 혼인빙자간음 , - , - , - , - 
 기타음란행위 ,16,15,15, - 
 도박과복표 ,289,247,327,20
 신앙 ,3,3,2,1
 과실치사상 ,25,24,23,1
 업무상과실치사상 ,32,30,31, - 
 실화 ,25,17,18, - 
 명예 ,125,118,111,10
 권리행사방해 ,31,25,24,1
 신용업무경매 ,231,221,238,20
 주거침입 ,148,133,134,6
 비밀침해 , - , - , - , - 
 유기 , - , - , - , - 
 낙태 ,1,2,2, - 
 아편 , - , - , - , - 
 교통방해 ,10,10,10, - 
 공무방해 ,210,210,214,7
 도주와범인은닉 ,4,3,4, - 
 위증과증거인멸 ,32,32,31,4
 무고 ,13,14,15,1
 공안을해하는죄 ,1,1,1, - 
 내란의죄 , - , - , - , - 
 음용수에관한죄 , - , - , - , - 
 일수와수리에관한죄 , - , - , - , - 
 기타 , - , - , - , - 
 가정폭력범죄의처벌등에관한특례법 , - , - , - , - 
 개발제한구역의지정및관리에관한특별조치법 , - , - , - , - 
 개항질서법위반 , - , - , - , - 
 건설기계관리법위반 , - , - , - , - 
 건설산업기본법위반 ,2,2,4, - 
 건축법위반 ,14,13,13,2
 고용보험법위반 , - ,1,1, - 
 골재채취법위반 ,2,2,2, - 
 공업배치및공장설립에관한법률위반 , - , - , - , - 
 공유수면관리법위반 , - , - , - , - 
 공중위생관리법위반 , - , - , - , - 
 공직선거법위반 ,30,30,30, - 
 관세법위반 , - ,1,1, - 
 교통사고처리특례법위반 ,"3,172","3,113","2,898",246
