카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
1,,청은환타지아 북측 4가,30,,064-710-8855,33.5132891,126.5300275,2018-04-30,6500000,제주특별자치도
1,,건입동사무소 동측,30,,064-710-8855,33.5148025,126.5297727,2018-04-30,6500000,제주특별자치도
1,,기상청 동측4가,30,,064-710-8855,33.5146815,126.5309716,2018-04-30,6500000,제주특별자치도
1,,우일빌라앞,30,,064-710-8855,33.5160093,126.5332395,2018-04-30,6500000,제주특별자치도
1,,탑고향 흑돼지촌 앞,30,,064-710-8855,33.516059,126.5268679,2018-04-30,6500000,제주특별자치도
1,,조랑말과 흑돼지앞,30,,064-710-8855,33.4866853,126.485384,2018-04-30,6500000,제주특별자치도
1,,이화아파트입구 4가,30,,064-710-8855,33.4849608,126.4740081,2018-04-30,6500000,제주특별자치도
1,,서울호텔 뒤,30,,064-710-8855,33.5162139,126.5238341,2018-04-30,6500000,제주특별자치도
1,,탑동컴퓨터세탁소앞,30,,064-710-8855,33.5163035,126.5233281,2018-04-30,6500000,제주특별자치도
1,,제원아파트서측 공원앞,30,,064-710-8855,33.4886232,126.4931866,2018-04-30,6500000,제주특별자치도
1,,부산할매아구찜 앞4가,30,,064-710-8855,33.4886232,126.4931866,2018-04-30,6500000,제주특별자치도
1,,바오젠거리,30,,064-710-8855,33.4887754,126.4910255,2018-04-30,6500000,제주특별자치도
1,,투다리 연동점,30,,064-710-8855,33.485387,126.4921129,2018-04-30,6500000,제주특별자치도
1,,대한항공사원주택서측,30,,064-710-8855,33.4880041,126.4952147,2018-04-30,6500000,제주특별자치도
1,,해봉이네 동태탕,30,,064-710-8855,33.4885315,126.4957296,2018-04-30,6500000,제주특별자치도
1,,한라수산앞,30,,064-710-8855,33.4886077,126.4854054,2018-04-30,6500000,제주특별자치도
1,,용담이동 616,30,,064-710-8855,33.5107211,126.5091798,2018-04-30,6500000,제주특별자치도
1,,영보맨션4가,30,,064-710-8855,33.510499,126.5061604,2018-04-30,6500000,제주특별자치도
1,,중앙성당 4가,30,,064-710-8855,33.511254,126.5234106,2018-04-30,6500000,제주특별자치도
1,,남안아파트앞,30,,064-710-8855,33.5116336,126.5287984,2018-04-30,6500000,제주특별자치도
1,,열린새마을금고앞,30,,064-710-8855,33.5138087,126.5258804,2018-04-30,6500000,제주특별자치도
1,,고은손톱 남쪽,30,,064-710-8855,33.247167,126.5510603,2018-04-30,6500000,제주특별자치도
1,,대청마루 서쪽,30,,064-710-8855,33.2475149,126.5644785,2018-04-30,6500000,제주특별자치도
1,,세영슈퍼 앞,30,,064-710-8855,33.2511669,126.5645991,2018-04-30,6500000,제주특별자치도
1,,매일올레시장 어린이놀이터,30,,064-710-8855,33.2501708,126.5636786,2018-04-30,6500000,제주특별자치도
1,,신라미용실앞 5가,30,,064-710-8855,33.2509865,126.5624044,2018-04-30,6500000,제주특별자치도
1,,구 명보극장 사거리,30,,064-710-8855,33.2479885,126.5623549,2018-04-30,6500000,제주특별자치도
1,,유진카페 앞,30,,064-710-8855,33.2501298,126.5609119,2018-04-30,6500000,제주특별자치도
1,,동아리노래연습장,30,,064-710-8855,33.2488123,126.5611202,2018-04-30,6500000,제주특별자치도
1,,동언식당앞,30,,064-710-8855,33.2489004,126.5594598,2018-04-30,6500000,제주특별자치도
1,,한림리1314,30,,064-710-8855,33.4174928,126.2637931,2018-04-30,6500000,제주특별자치도
1,,CU한림중앙점,30,,064-710-8855,33.4127136,126.2650707,2018-04-30,6500000,제주특별자치도
2,,강정동 좀당 4가로,30,,064-710-8855,33.235938,126.5058174,2018-04-30,6500000,제주특별자치도
2,,탐라대 입구 삼거리,30,,064-710-8855,33.2637959,126.4603995,2018-04-30,6500000,제주특별자치도
2,,쇠소깍 입구 삼가로,30,,064-710-8855,33.2524619,126.6171313,2018-04-30,6500000,제주특별자치도
4,,신흥2리 오거리(1576-3),30,,064-710-8855,33.3169509,126.7446243,2018-04-30,6500000,제주특별자치도
3,,한남교차로,30,,064-710-8855,33.3191057,126.6879847,2018-04-30,6500000,제주특별자치도
2,,보성리사무소,30,,064-710-8855,33.2513631,126.2741264,2018-04-30,6500000,제주특별자치도
2,,남주고등학교 입구,30,,064-710-8855,33.2698269,126.569319,2018-04-30,6500000,제주특별자치도
3,,신산중학교 동북쪽 삼거리(1001-2),30,,064-710-8855,33.3834274,126.8754339,2018-04-30,6500000,제주특별자치도
4,,서광 소인국테마마크 앞,30,,064-710-8855,33.2888723,126.3228581,2018-04-30,6500000,제주특별자치도
3,,정석비행장 입구 사거리(가시리 2520-1),30,,064-710-8855,33.3609144,126.7668855,2018-04-30,6500000,제주특별자치도
4,,조천읍 신촌리,30,,064-710-8855,33.5177502,126.6199295,2018-04-30,6500000,제주특별자치도
3,,한경면 산양리(무릉2리교차로),30,,064-710-8855,33.2739934,126.2444751,2018-04-30,6500000,제주특별자치도
3,,금악삼거리,30,,064-710-8855,33.3460907,126.3149472,2018-04-30,6500000,제주특별자치도
3,,산록도로 전망대,30,,064-710-8855,33.2918646,126.5565136,2018-04-30,6500000,제주특별자치도
3,,하례입구교차로,30,,064-710-8855,33.299995,126.6297939,2018-04-30,6500000,제주특별자치도
2,,사계리 대정향교 입구,30,,064-710-8855,33.2393558,126.2861951,2018-04-30,6500000,제주특별자치도
3,,하례리 양마단지 입구 학림교 동측,30,,064-710-8855,33.3007354,126.6028168,2018-04-30,6500000,제주특별자치도
