BIZ_UNIT,PD_S_C,PD_S_NM,PD_M_NM,PD_H_NM
A04,341,단행본서적(직배),특수점서적,서적/음반
A04,1,삼각김밥,삼각김밥,미반
A04,2,The커진삼각김밥,삼각김밥,미반
A04,3,말이김밥,김밥,미반
A04,4,트레이김밥,김밥,미반
A04,5,초밥,김밥,미반
A04,6,도시락,도시락,미반
A04,7,미니도시락,도시락,미반
A04,8,기타,도시락,미반
A04,9,국/찌개도시락,도시락,미반
A04,10,떠먹는주먹밥,용기형주먹밥,미반
A04,11,동그란주먹밥,동그란주먹밥/사각주먹밥,미반
A04,12,사각주먹밥,동그란주먹밥/사각주먹밥,미반
A04,13,안주/간식류,안주/간식류,미반
A04,14,조리면,조리면,미반
A04,15,삼각샌드,샌드위치,조리빵
A04,16,토스트샌드,샌드위치,조리빵
A04,17,햄버거,햄버거,조리빵
A04,18,잉글리쉬머핀,머핀/베이글,조리빵
A04,19,베이글,머핀/베이글,조리빵
A04,20,롤샌드,롤샌드/핫도그,조리빵
A04,21,핫도그,롤샌드/핫도그,조리빵
A04,22,조리샐러드,샐러드,간식
A04,23,조리면,조리면,간식
A04,24,냉장피자,냉장피자,간식
A04,25,기타,기타,간식
A04,26,일반케익,케익,디저트
A04,27,조각케익,케익,디저트
A04,28,프리미엄케익,케익,디저트
A04,29,떡,떡,디저트
A04,30,선물세트,떡,디저트
A04,31,직납떡,떡,디저트
A04,32,떠먹는젤리,젤리,디저트
A04,33,푸딩,젤리,디저트
A04,34,마시는젤리,젤리,디저트
A04,35,아이스커피,파우치음료,즉석 식품
A04,36,아이스티,파우치음료,즉석 식품
A04,37,걸프,즉석음료,즉석 식품
A04,38,스무디아,즉석음료,즉석 식품
A04,39,아이스음료,즉석음료,즉석 식품
A04,40,꼬치 타입,오뎅,즉석 식품
A04,41,델리만쥬,즉석조리,즉석 식품
A04,42,치킨,즉석조리,즉석 식품
A04,43,기타,즉석조리,즉석 식품
A04,44,즉석라면,즉석조리,즉석 식품
A04,45,치킨(컨셉점포),Hot Food,즉석 식품
A04,46,Hot Snack,Hot Food,즉석 식품
A04,47,컵얼음,얼음,즉석 식품
A04,48,봉지얼음,얼음,즉석 식품
A04,49,대용량얼음,얼음,즉석 식품
A04,50,흰우유(소）,흰우유,유음료
A04,51,흰우유(중),흰우유,유음료
A04,52,흰우유(대),흰우유,유음료
A04,53,기능성우유(소),기능성우유,유음료
A04,54,기능성우유(중),기능성우유,유음료
A04,55,기능성우유(대),기능성우유,유음료
A04,56,컵커피우유,가공우유,유음료
A04,57,커피우유,가공우유,유음료
A04,58,바나나우유,가공우유,유음료
A04,59,딸기우유,가공우유,유음료
A04,60,초코우유,가공우유,유음료
A04,61,기타,가공우유,유음료
A04,62,드링킹요구르트,요구르트,유음료
A04,63,기능성요구르트,요구르트,유음료
A04,64,떠먹는요구르트,요구르트,유음료
A04,65,프리미엄요구르트,요구르트,유음료
A04,66,병두유,두유,유음료
A04,67,팩두유,두유,유음료
A04,68,두유선물세트,두유,유음료
A04,69,냉장주스(소),냉장주스,유음료
A04,70,냉장주스(중),냉장주스,유음료
A04,71,냉장주스(대),냉장주스,유음료
A04,72,유산균음료,냉장주스,유음료
A04,73,버터,유제품,유음료
A04,74,치즈,유제품,유음료
A04,75,소시지,육가공,냉장
A04,76,햄,육가공,냉장
A04,77,소형바,육가공,냉장
A04,78,치킨,육가공,냉장
A04,79,족발,육가공,냉장
A04,80,기타,육가공,냉장
A04,81,김치,반찬,냉장
A04,82,맛살,반찬,냉장
A04,83,젓갈,반찬,냉장
A04,84,어묵,반찬,냉장
A04,85,조림반찬,반찬,냉장
A04,86,기타,반찬,냉장
A04,87,냉장면,냉장식품,냉장
A04,88,냉장죽,냉장식품,냉장
A04,89,삶은계란,냉장식품,냉장
A04,90,기타,냉장식품,냉장
A04,91,가정간편식,냉장식품,냉장
A04,92,일반란,(구)1차식품,냉장
A04,93,과일,(구)과일야채,냉장
A04,94,천연발효빵,간식빵,빵
A04,95,페스트리,간식빵,빵
A04,96,샌드빵,간식빵,빵
A04,97,캐릭터빵,간식빵,빵
A04,98,과자빵,간식빵,빵
A04,99,조리빵,간식빵,빵
A04,100,도너츠,간식빵,빵
A04,101,간식용케익,간식빵,빵
A04,102,식빵,식빵,빵
A04,103,호빵,호빵,빵
A04,104,만두,호빵,빵
A04,105,구운과자,화과자,빵
A04,106,케익,케익,빵
A04,107,기타,케익,빵
A04,108,후레쉬빵,프리미엄,빵
A04,109,베이커리,프리미엄,빵
A04,110,두부,1차식품,신선
A04,111,콩나물,1차식품,신선
A04,112,일반란,1차식품,신선
A04,113,과일,과일야채,신선
A04,114,야채,과일야채,신선
A04,115,선물세트,과일야채,신선
A04,116,견과류,과일야채,신선
A04,117,10kg미만,곡물,신선
A04,118,10kg이상,곡물,신선
A04,119,축산,수축산,신선
A04,120,HOT,편의점카페,원두커피
A04,121,ICE,편의점카페,원두커피
A04,122,HOT,신컨셉,원두커피
A04,123,HOT,기타,원두커피
A04,124,크래커,비스킷류,과자
A04,125,쿠키,비스킷류,과자
A04,126,파이,비스킷류,과자
A04,127,스틱과자,비스킷류,과자
A04,128,기타,비스킷류,과자
A04,129,알뜰절약상품,비스킷류,과자
A04,130,행사상품,비스킷류,과자
A04,131,감자스낵,스낵류,과자
A04,132,일반스낵,스낵류,과자
A04,133,옥수수스낵,스낵류,과자
A04,134,전통스낵,스낵류,과자
A04,135,기타(수입과자),스낵류,과자
A04,136,알뜰절약상품,스낵류,과자
A04,137,기능성캔디,캔디류,과자
A04,138,과일향캔디,캔디류,과자
A04,139,봉지캔디,캔디류,과자
A04,140,카라멜/젤리,캔디류,과자
A04,141,토이캔디,캔디류,과자
A04,142,행사상품,캔디류,과자
A04,143,타블렛캔디,캔디류,과자
A04,144,판쵸코렛,쵸코렛,과자
A04,145,바쵸코렛,쵸코렛,과자
A04,146,봉지쵸코렛,쵸코렛,과자
A04,147,볼쵸코렛,쵸코렛,과자
A04,148,행사상품,쵸코렛,과자
A04,149,어린이초코렛,쵸코렛,과자
A04,150,스틱껌,껌,과자
A04,151,케이스껌,껌,과자
A04,152,용기껌,껌,과자
A04,153,풍선껌,껌,과자
A04,154,어린이껌,껌,과자
A04,155,영양바,간편영양식품,과자
A04,156,영양식품(비타민),간편영양식품,과자
A04,157,씨리얼,간편영양식품,과자
A04,158,환자식,간편영양식품,과자
A04,159,믹스커피,커피,커피/차
A04,160,원두커피,커피,커피/차
A04,161,커피분말/커피크림,커피,커피/차
A04,162,코코아,커피,커피/차
A04,163,믹스커피,원컵,커피/차
A04,164,원두커피,원컵,커피/차
A04,165,코코아,원컵,커피/차
A04,166,국산차,원컵,커피/차
A04,167,국산차,차,커피/차
A04,168,녹차류,차,커피/차
A04,169,곡물차,차,커피/차
A04,170,홍차류,차,커피/차
A04,171,기타차,차,커피/차
A04,172,쨈,쨈/꿀,커피/차
A04,173,꿀,쨈/꿀,커피/차
A04,174,일반선물세트,선물세트,커피/차
A04,175,택배선물세트,선물세트,커피/차
A04,176,음료,건강기능식품,커피/차
A04,177,정제형,건강기능식품,커피/차
A04,178,기타,건강기능식품,커피/차
A04,179,라면,봉지면,면
A04,180,비빔면,봉지면,면
A04,181,우동,봉지면,면
A04,182,라면(대형컵),용기면,면
A04,183,라면(소형컵),용기면,면
A04,184,비빔면,용기면,면
A04,185,우동,용기면,면
A04,186,기타,기타,면
A04,187,즉석밥,가공미반류,가공식품
A04,188,즉석덮밥,가공미반류,가공식품
A04,189,죽,가공미반류,가공식품
A04,190,즉석컵밥,가공미반류,가공식품
A04,191,덮밥 소스류,레토르트,가공식품
A04,192,레토르트 간식,레토르트,가공식품
A04,193,레토르트 면,레토르트,가공식품
A04,194,기타,레토르트,가공식품
A04,195,국,국／스프,가공식품
A04,196,스프,국／스프,가공식품
A04,197,참치캔,캔,가공식품
A04,198,수산캔,캔,가공식품
A04,199,농산캔,캔,가공식품
A04,200,육가공캔,캔,가공식품
A04,201,기타캔,캔,가공식품
A04,202,면,가공면류,가공식품
A04,203,기타,기타,가공식품
A04,204,선물세트,선물세트,가공식품
A04,205,해산건물,건해산물,조미료/건물
A04,206,간장,장류,조미료/건물
A04,207,장,장류,조미료/건물
A04,208,홍초,소스류,조미료/건물
A04,209,식초,소스류,조미료/건물
A04,210,소스,소스류,조미료/건물
A04,211,참기름,식용유지,조미료/건물
A04,212,식용유,식용유지,조미료/건물
A04,213,미원,조미료,조미료/건물
A04,214,소금,조미료,조미료/건물
A04,215,설탕,조미료,조미료/건물
A04,216,밀가루,분말가루,조미료/건물
A04,217,조미세트,선물세트,조미료/건물
A04,218,건물세트,선물세트,조미료/건물
A04,219,오징어(소),오징어,안주
A04,220,오징어(중),오징어,안주
A04,221,대용량,오징어,안주
A04,224,쥐포,생선류,안주
A04,225,어육,생선류,안주
A04,226,대용량,생선류,안주
A04,227,기타생선,생선류,안주
A04,228,육포,육포,안주
A04,229,대용량,육포,안주
A04,230,캔너트,너트류,안주
A04,231,봉지너트,너트류,안주
A04,232,일반스틱,기타,안주
A04,233,기타,기타,안주
A04,234,과일,농산안주,안주
A04,235,농산물,농산안주,안주
A04,236,일반스낵,스낵안주,안주
A04,237,김스낵,스낵안주,안주
A04,238,캔안주,캔안주,안주
A04,239,병맥주(소),병맥주,맥주
A04,240,병맥주(중),병맥주,맥주
A04,241,병맥주(대),병맥주,맥주
A04,242,캔맥주(소),캔맥주,맥주
A04,243,캔맥주(중),캔맥주,맥주
A04,244,수입맥주(병),수입맥주,맥주
A04,245,수입맥주(캔),수입맥주,맥주
A04,246,생맥주500ML,생맥주,맥주
A04,247,병소주,소주,전통주
A04,248,팩소주,소주,전통주
A04,249,PET소주,소주,전통주
A04,250,탁주,곡주,전통주
