ID,GENDER,AGE_PRD,HOM_PST_NO
1,1,60PRD,52
2,2,60PRD,80
3,2,60PRD,620
4,1,60PRD,120
5,1,60PRD,
6,2,60PRD,58
7,2,60PRD,52
8,2,60PRD,480
9,2,60PRD,470
10,1,60PRD,55
11,1,60PRD,72
12,2,60PRD,61
13,2,60PRD,620
14,1,60PRD,62
15,2,60PRD,36
16,2,60PRD,55
17,2,60PRD,56
18,1,60PRD,55
19,1,60PRD,33
20,1,60PRD,55
21,2,60PRD,56
22,2,60PRD,460
23,2,60PRD,47
24,1,60PRD,490
25,2,60PRD,360
26,1,60PRD,60
27,1,60PRD,490
28,1,60PRD,90
29,1,60PRD,56
30,2,60PRD,57
31,1,60PRD,130
32,2,60PRD,100
33,1,60PRD,550
34,2,60PRD,620
35,1,60PRD,480
36,1,60PRD,510
37,1,60PRD,62
38,2,60PRD,340
39,2,60PRD,62
40,1,60PRD,55
41,2,60PRD,
42,1,60PRD,55
43,2,60PRD,410
44,2,60PRD,130
45,1,60PRD,140
46,2,60PRD,160
47,2,60PRD,480
48,2,60PRD,160
49,1,60PRD,240
50,1,60PRD,55
51,2,60PRD,56
52,1,60PRD,400
53,1,60PRD,210
54,2,60PRD,55
55,1,60PRD,400
56,1,60PRD,470
57,2,60PRD,110
58,2,60PRD,100
59,2,60PRD,55
60,1,60PRD,
61,1,60PRD,36
62,1,60PRD,480
63,2,60PRD,400
64,1,60PRD,370
65,1,60PRD,55
66,2,60PRD,
67,2,60PRD,65
68,1,60PRD,440
69,2,60PRD,55
70,2,60PRD,490
71,1,60PRD,75
72,2,60PRD,76
73,2,60PRD,20
74,2,60PRD,470
75,2,60PRD,460
76,1,60PRD,130
77,2,60PRD,100
78,2,60PRD,
79,2,60PRD,370
80,1,60PRD,360
81,2,60PRD,
82,1,60PRD,57
83,1,60PRD,100
84,2,60PRD,480
85,1,60PRD,55
86,2,60PRD,24
87,2,60PRD,160
88,2,60PRD,610
89,1,60PRD,55
90,2,60PRD,400
91,1,60PRD,470
92,2,60PRD,16
93,2,60PRD,110
94,1,60PRD,590
95,2,60PRD,55
96,1,60PRD,470
97,2,60PRD,100
98,1,60PRD,120
99,1,60PRD,20
100,1,60PRD,480
101,1,60PRD,55
102,1,60PRD,56
103,2,60PRD,62
104,2,60PRD,130
105,1,60PRD,500
106,2,60PRD,53
107,2,60PRD,62
108,1,60PRD,79
109,2,60PRD,44
110,1,60PRD,55
111,2,60PRD,0
112,1,60PRD,66
113,2,60PRD,55
114,2,60PRD,110
115,2,60PRD,470
116,2,60PRD,550
117,1,60PRD,76
118,2,60PRD,70
119,1,60PRD,58
120,1,60PRD,47
121,2,60PRD,
122,2,60PRD,50
123,2,60PRD,56
124,2,60PRD,480
125,2,60PRD,58
126,1,60PRD,44
127,2,60PRD,130
128,1,60PRD,50
129,2,60PRD,160
130,2,60PRD,87
131,2,60PRD,68
132,2,60PRD,120
133,2,60PRD,62
134,2,60PRD,410
135,2,60PRD,55
136,2,60PRD,62
137,1,60PRD,55
138,1,60PRD,150
139,2,60PRD,63
140,2,60PRD,49
141,2,60PRD,130
142,2,60PRD,
143,2,60PRD,56
144,1,60PRD,550
145,2,60PRD,130
146,2,60PRD,0
147,2,60PRD,140
148,1,60PRD,460
149,2,60PRD,56
150,1,60PRD,62
151,2,60PRD,460
152,2,60PRD,50
153,2,60PRD,490
154,1,60PRD,58
155,1,60PRD,110
156,2,60PRD,55
157,2,60PRD,56
158,2,60PRD,
159,2,60PRD,55
160,2,60PRD,550
161,2,60PRD,50
162,1,60PRD,55
163,1,60PRD,17
164,2,60PRD,100
165,2,60PRD,50
166,2,60PRD,610
167,2,60PRD,18
168,2,60PRD,120
169,2,60PRD,170
170,1,60PRD,65
171,2,60PRD,56
172,2,60PRD,
173,1,60PRD,130
174,2,60PRD,62
175,2,60PRD,440
176,1,60PRD,67
177,1,60PRD,130
178,2,60PRD,400
179,2,60PRD,37
180,2,60PRD,140
181,2,60PRD,510
182,2,60PRD,120
183,2,60PRD,33
184,1,60PRD,55
185,1,60PRD,540
186,1,60PRD,150
187,1,60PRD,470
188,1,60PRD,600
189,2,60PRD,55
190,2,60PRD,56
191,2,60PRD,130
192,2,60PRD,470
193,2,60PRD,56
194,2,60PRD,56
195,1,60PRD,210
196,2,60PRD,47
197,2,60PRD,480
198,2,60PRD,420
199,2,60PRD,55
200,1,60PRD,66
201,1,60PRD,540
202,2,60PRD,520
203,1,60PRD,510
204,1,60PRD,100
205,1,60PRD,420
206,1,60PRD,100
207,2,60PRD,210
208,2,60PRD,56
209,2,60PRD,13
210,1,60PRD,55
211,1,60PRD,17
212,1,60PRD,100
213,2,60PRD,610
214,1,60PRD,47
215,1,60PRD,0
