SEQ,RCT_NO,BIZ_UNIT,PD_S_C,BR_C,DE_DT,DE_HR,BUY_AM,BUY_CT
10802,327162,A01,420,35,20151002,18,109200,1
5873,316427,A01,9,2,20150321,20,9000,1
18987,253380,A02,1614,89,20150304,10,8900,1
9288,130196,A02,298,16,20150908,18,5000,2
17302,449657,A01,85,25,20151031,19,10000,1
7231,313830,A01,426,27,20150805,15,34000,1
4660,79526,A03,52,116,20150521,17,1980,2
6655,38334,A04,245,552,20150718,14,4100,1
3198,55272,A01,488,4,20151123,13,18500,1
566,98274,A02,532,13,20150418,18,3800,1
7835,19905,A04,150,2109,20150427,12,500,1
6805,361149,A01,15,2,20150913,15,3700,1
940,95013,A02,895,13,20150211,14,5890,1
8117,14594,A04,324,1028,20150330,23,4500,1
12376,24427,A03,185,342,20151212,17,9900,1
1077,56038,A02,60,7,20150924,15,6240,1
2982,21969,A02,1129,7,20150210,20,14000,2
19619,3677,A05,76,13,20150428,20,1000,1
12124,118879,A02,1176,16,20150204,11,1950,1
15776,81460,A03,625,118,20150101,12,6990,1
5666,22486,A03,486,307,20151216,18,1690,1
3761,37660,A02,401,7,20150526,19,500,5
1584,6652,A03,559,37,20151118,12,8800,1
5976,62081,A03,307,93,20150123,20,2600,1
7191,7570,A02,1163,4,20151030,15,1890,1
7802,292269,A02,853,106,20151128,19,18400,736
11883,105754,A01,210,24,20150122,13,19900,1
8761,73633,A02,896,8,20150912,10,4280,1
2829,234650,A02,22,81,20150625,21,2980,1
6357,103161,A03,285,187,20150310,14,6100,1
4152,87580,A03,488,138,20150112,15,800,2
1151,60439,A02,1472,7,20151030,10,2180,1
3193,95790,A02,580,13,20150226,13,9900,1
17122,105721,A01,153,39,20150801,15,15500,1
608,102617,A02,528,13,20150714,21,3680,1
14268,119390,A02,256,16,20150214,15,4000,1
15923,120978,A02,1300,16,20150320,19,4880,1
5552,107705,A02,899,13,20151027,15,1600,1
8245,66273,A04,56,29,20151107,9,2000,1
18251,21276,A03,407,294,20151207,20,1200,1
16726,249797,A02,857,88,20150203,19,15352,404
901,226481,A02,1232,72,20151101,18,3650,1
1715,90012,A02,1183,11,20150919,17,1520,4
3613,359821,A01,218,15,20150417,18,39000,1
5822,50067,A03,424,68,20150316,16,9000,1
15896,121824,A03,776,257,20150803,22,490,1
8457,273773,A02,251,96,20151225,16,3000,1
11387,113219,A03,410,228,20150717,17,1440,1
5899,63379,A03,153,95,20150101,19,3990,1
1924,87981,A02,1185,11,20150615,13,7200,2
12365,64376,A01,145,2,20150423,18,308000,2
13009,70335,A02,1238,8,20150315,22,3000,3
17260,49528,A04,1,2152,20150830,12,800,1
2809,111730,A02,528,14,20150508,19,3980,1
3777,298535,A02,599,110,20150713,15,14400,1
8449,12635,A04,144,1281,20150320,7,1200,1
14721,104633,A02,388,13,20150820,20,8000,1
11156,307206,A02,1539,115,20150731,20,11900,1
8441,307110,A02,1481,115,20150713,12,3500,1
3512,70645,A02,37,8,20150404,16,9900,1
2892,398041,A01,333,20,20151006,18,38000,1
683,270886,A02,977,96,20150104,15,4400,2
13941,39516,A03,470,36,20150807,19,2800,1
6725,32454,A02,885,7,20150422,15,6320,1
