SEQ,GENDER,AGE_PRD,HOM_PST_NO
00001,1,60PRD,052
00002,2,60PRD,080
00003,2,60PRD,620
00004,1,60PRD,120
00005,1,60PRD,
00006,2,60PRD,058
00007,2,60PRD,052
00008,2,60PRD,480
00009,2,60PRD,470
00010,1,60PRD,055
00011,1,60PRD,072
00012,2,60PRD,061
00013,2,60PRD,620
00014,1,60PRD,062
00015,2,60PRD,036
00016,2,60PRD,055
00017,2,60PRD,056
00018,1,60PRD,055
00019,1,60PRD,033
00020,1,60PRD,055
00021,2,60PRD,056
00022,2,60PRD,460
00023,2,60PRD,047
00024,1,60PRD,490
00025,2,60PRD,360
00026,1,60PRD,060
00027,1,60PRD,490
00028,1,60PRD,090
00029,1,60PRD,056
00030,2,60PRD,057
00031,1,60PRD,130
00032,2,60PRD,100
00033,1,60PRD,550
00034,2,60PRD,620
00035,1,60PRD,480
00036,1,60PRD,510
00037,1,60PRD,062
00038,2,60PRD,340
00039,2,60PRD,062
00040,1,60PRD,055
00041,2,60PRD,
00042,1,60PRD,055
00043,2,60PRD,410
00044,2,60PRD,130
00045,1,60PRD,140
00046,2,60PRD,160
00047,2,60PRD,480
00048,2,60PRD,160
00049,1,60PRD,240
00050,1,60PRD,055
00051,2,60PRD,056
00052,1,60PRD,400
00053,1,60PRD,210
00054,2,60PRD,055
00055,1,60PRD,400
00056,1,60PRD,470
00057,2,60PRD,110
00058,2,60PRD,100
00059,2,60PRD,055
00060,1,60PRD,
00061,1,60PRD,036
00062,1,60PRD,480
00063,2,60PRD,400
00064,1,60PRD,370
00065,1,60PRD,055
00066,2,60PRD,
00067,2,60PRD,065
00068,1,60PRD,440
00069,2,60PRD,055
00070,2,60PRD,490
00071,1,60PRD,075
00072,2,60PRD,076
00073,2,60PRD,020
00074,2,60PRD,470
00075,2,60PRD,460
00076,1,60PRD,130
00077,2,60PRD,100
00078,2,60PRD,
00079,2,60PRD,370
00080,1,60PRD,360
00081,2,60PRD,
00082,1,60PRD,057
00083,1,60PRD,100
00084,2,60PRD,480
00085,1,60PRD,055
00086,2,60PRD,024
00087,2,60PRD,160
00088,2,60PRD,610
00089,1,60PRD,055
00090,2,60PRD,400
00091,1,60PRD,470
00092,2,60PRD,016
00093,2,60PRD,110
00094,1,60PRD,590
00095,2,60PRD,055
00096,1,60PRD,470
00097,2,60PRD,100
00098,1,60PRD,120
00099,1,60PRD,020
00100,1,60PRD,480
00101,1,60PRD,055
00102,1,60PRD,056
00103,2,60PRD,062
00104,2,60PRD,130
00105,1,60PRD,500
00106,2,60PRD,053
00107,2,60PRD,062
00108,1,60PRD,079
00109,2,60PRD,044
00110,1,60PRD,055
00111,2,60PRD,000
00112,1,60PRD,066
00113,2,60PRD,055
00114,2,60PRD,110
00115,2,60PRD,470
00116,2,60PRD,550
00117,1,60PRD,076
00118,2,60PRD,070
00119,1,60PRD,058
00120,1,60PRD,047
00121,2,60PRD,
00122,2,60PRD,050
00123,2,60PRD,056
00124,2,60PRD,480
00125,2,60PRD,058
00126,1,60PRD,044
00127,2,60PRD,130
00128,1,60PRD,050
00129,2,60PRD,160
00130,2,60PRD,087
00131,2,60PRD,068
00132,2,60PRD,120
00133,2,60PRD,062
00134,2,60PRD,410
00135,2,60PRD,055
00136,2,60PRD,062
00137,1,60PRD,055
00138,1,60PRD,150
00139,2,60PRD,063
00140,2,60PRD,049
00141,2,60PRD,130
00142,2,60PRD,
00143,2,60PRD,056
00144,1,60PRD,550
00145,2,60PRD,130
00146,2,60PRD,000
00147,2,60PRD,140
00148,1,60PRD,460
00149,2,60PRD,056
00150,1,60PRD,062
00151,2,60PRD,460
00152,2,60PRD,050
00153,2,60PRD,490
00154,1,60PRD,058
00155,1,60PRD,110
00156,2,60PRD,055
00157,2,60PRD,056
00158,2,60PRD,
00159,2,60PRD,055
00160,2,60PRD,550
00161,2,60PRD,050
00162,1,60PRD,055
00163,1,60PRD,017
00164,2,60PRD,100
00165,2,60PRD,050
00166,2,60PRD,610
00167,2,60PRD,018
00168,2,60PRD,120
00169,2,60PRD,170
00170,1,60PRD,065
00171,2,60PRD,056
00172,2,60PRD,
00173,1,60PRD,130
00174,2,60PRD,062
00175,2,60PRD,440
00176,1,60PRD,067
00177,1,60PRD,130
00178,2,60PRD,400
00179,2,60PRD,037
00180,2,60PRD,140
00181,2,60PRD,510
00182,2,60PRD,120
00183,2,60PRD,033
00184,1,60PRD,055
00185,1,60PRD,540
00186,1,60PRD,150
00187,1,60PRD,470
00188,1,60PRD,600
00189,2,60PRD,055
00190,2,60PRD,056
00191,2,60PRD,130
00192,2,60PRD,470
00193,2,60PRD,056
00194,2,60PRD,056
00195,1,60PRD,210
00196,2,60PRD,047
00197,2,60PRD,480
00198,2,60PRD,420
00199,2,60PRD,055
00200,1,60PRD,066
00201,1,60PRD,540
00202,2,60PRD,520
00203,1,60PRD,510
00204,1,60PRD,100
00205,1,60PRD,420
00206,1,60PRD,100
00207,2,60PRD,210
00208,2,60PRD,056
00209,2,60PRD,013
00210,1,60PRD,055
00211,1,60PRD,017
00212,1,60PRD,100
00213,2,60PRD,610
00214,1,60PRD,047
00215,1,60PRD,000
00216,2,60PRD,020
00217,1,60PRD,055
00218,2,60PRD,030
00219,2,60PRD,077
00220,2,60PRD,017
00221,2,60PRD,050
00222,1,60PRD,013
00223,2,60PRD,052
00224,1,60PRD,058
00225,1,60PRD,020
00226,2,60PRD,055
00227,2,60PRD,120
00228,2,60PRD,140
00229,2,60PRD,074
00230,2,60PRD,470
00231,2,60PRD,056
00232,2,60PRD,052
00233,2,60PRD,070
00234,2,60PRD,610
00235,1,60PRD,460
00236,2,60PRD,073
00237,2,60PRD,080
00238,2,60PRD,055
00239,2,60PRD,020
00240,1,60PRD,021
00241,1,60PRD,027
00242,2,60PRD,055
00243,1,60PRD,160
00244,1,60PRD,490
00245,2,60PRD,460
00246,1,60PRD,016
00247,1,60PRD,049
